k,config,Rand,Greedy,EntrRed
2,F1,0.81,0.3,0.2
4,F1,8.1,0.92,0.36
6,F1,11.34,1.53,0.65
8,F1,11.88,1.95,0.9
10,F1,14.31,2.84,1.42
2,F5,1.95,0.63,0.39
4,F5,18.6,1.97,0.75
6,F5,22.8,3.2,1.38
8,F5,27.36,4.67,2.19
10,F5,30.6,6.44,3.3
