k,model,Rand,Greedy,EntrRed
2,GPT,0.81,0.3,0.2
4,GPT,8.1,0.92,0.36
6,GPT,11.34,1.53,0.65
8,GPT,11.88,1.95,0.9
10,GPT,14.31,2.84,1.42
2,Llama,0.31,0.12,0.08
4,Llama,3.12,0.36,0.14
6,Llama,4.37,0.59,0.25
8,Llama,4.58,0.76,0.35
10,Llama,5.51,1.1,0.55
